Date,STOCK,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-05-29,MSFT,92.53684836383182,93.5204788893895,91.95991837512983,92.69763946533203,28671000,0.0,0.0
2018-05-30,MSFT,92.98137519337648,93.87042739414571,92.60306186321993,93.58668518066406,22158500,0.0,0.0
2018-05-31,MSFT,93.90826409484518,94.57031966615128,93.26512130449159,93.48265075683594,34140900,0.0,0.0
2018-06-01,MSFT,93.89880105551084,95.39316325762324,93.79476272397996,95.32695770263672,28655600,0.0,0.0
2018-06-04,MSFT,95.77149025292444,96.33896750755406,95.38370967914425,96.15926361083984,27281600,0.0,0.0
2018-06-05,MSFT,96.47136576835071,96.78348074234975,96.02683969311519,96.65106964111328,23514400,0.0,0.0
2018-06-06,MSFT,96.92535404190167,97.03884515075917,96.37678962954382,96.93480682373047,21122900,0.0,0.0
2018-06-07,MSFT,97.08614499362307,97.1239777712854,94.93917996043966,95.41207885742188,28232200,0.0,0.0
2018-06-08,MSFT,95.61069016795385,96.42407680243089,95.09050573995562,96.12142181396484,22165100,0.0,0.0
2018-06-11,MSFT,95.53503557014665,96.08359279729483,95.21346057339761,95.57286834716797,23490900,0.0,0.0
2018-06-12,MSFT,95.62016230678708,95.95119011497398,95.28913449860019,95.81877899169922,18325200,0.0,0.0
2018-06-13,MSFT,96.20654411430911,96.4808263158236,95.10941530825113,95.38369750976562,29492900,0.0,0.0
2018-06-14,MSFT,96.14034244296207,96.4997429891754,95.52557246412898,95.92280578613281,25691800,0.0,0.0
2018-06-15,MSFT,96.00793381443022,96.02684659488169,94.64598271426563,94.70272827148438,65738600,0.0,0.0
2018-06-18,MSFT,94.58923134569814,95.62960738735468,94.03120694249499,95.39315795898438,23586000,0.0,0.0
2018-06-19,MSFT,94.24874359157579,95.52556906160264,94.10687249138083,95.39315795898438,28653100,0.0,0.0
2018-06-20,MSFT,95.8755203154385,96.96318195298082,95.63907087843117,96.34841918945312,26180800,0.0,0.0
2018-06-21,MSFT,96.54704174848747,96.9064423169825,95.41208005200147,95.65798950195312,23198200,0.0,0.0
2018-06-22,MSFT,94.96757507324219,95.30805569467431,94.22984661518653,94.96757507324219,38923100,0.0,0.0
2018-06-25,MSFT,94.57976451000118,94.68380282823125,92.0261137545765,93.0570297241211,35433300,0.0,0.0
2018-06-26,MSFT,93.46371585477284,94.65542281693365,93.39751031331184,93.70962524414062,26897200,0.0,0.0
2018-06-27,MSFT,94.18253326719824,94.59867933325269,92.1206940676664,92.25310516357422,31298400,0.0,0.0
2018-06-28,MSFT,92.10177994233825,93.73801318298165,91.98828883339318,93.28402709960938,26650700,0.0,0.0
2018-06-29,MSFT,93.56778412091018,94.49466921397058,93.00030683872825,93.26512908935547,28053200,0.0,0.0
2018-07-02,MSFT,92.78277123024502,94.63653422203639,92.68819288476014,94.58924865722656,19564500,0.0,0.0
2018-07-03,MSFT,95.03376554857932,95.1756294450362,93.57723607941779,93.6812744140625,14670300,0.0,0.0
2018-07-05,MSFT,94.10687377382685,94.50410708709494,93.66234768789465,94.352783203125,18977400,0.0,0.0
2018-07-06,MSFT,94.47574313481577,95.93227263538377,94.26766646103967,95.67691040039062,19234600,0.0,0.0
2018-07-09,MSFT,96.14034924394095,96.70782648921326,95.76202867513783,96.32950592041016,18212000,0.0,0.0
2018-07-10,MSFT,96.47137867682905,96.95373759065532,96.33896755787512,96.58487701416016,19293100,0.0,0.0
2018-07-11,MSFT,95.66744734969762,96.79294180651598,95.6201545741247,96.45246124267578,19644600,0.0,0.0
2018-07-12,MSFT,97.19962537112495,98.75074022043877,97.16179981350652,98.54266357421875,24335900,0.0,0.0
2018-07-13,MSFT,98.71291837818353,99.87624562416326,98.44808893448182,99.71546173095703,24635200,0.0,0.0
2018-07-16,MSFT,99.68708696074847,100.08432029457084,98.8547803003233,99.22364807128906,21786900,0.0,0.0
2018-07-17,MSFT,98.93989471914689,100.72745173606717,98.66561252926712,100.20726013183594,25901700,0.0,0.0
2018-07-18,MSFT,100.19781029234632,100.3018486162471,99.04393594789316,99.42225646972656,29493900,0.0,0.0
2018-07-19,MSFT,99.24256655602719,99.60196713359089,98.25893594726543,98.74129486083984,40171600,0.0,0.0
2018-07-20,MSFT,102.22181695342267,102.33530805905403,100.33022155701973,100.50991821289062,56004000,0.0,0.0
2018-07-23,MSFT,100.53830210728108,102.27856647590077,100.37751100828969,102.11778259277344,29707000,0.0,0.0
2018-07-24,MSFT,102.68525712511558,102.9217065527055,101.44626443362085,101.8245849609375,26316600,0.0,0.0
2018-07-25,MSFT,102.10831952047427,105.12541651306816,101.7678317688897,104.82276153564453,30702100,0.0,0.0
2018-07-26,MSFT,104.73763351457937,104.983542932882,103.56484640676197,103.6783447265625,31372100,0.0,0.0
2018-07-27,MSFT,104.20799251725168,104.20799251725168,100.38696888311772,101.84349822998047,37005300,0.0,0.0
2018-07-30,MSFT,101.38006595880306,101.70163373915594,99.0817770735752,99.6587142944336,34668300,0.0,0.0
2018-07-31,MSFT,100.71800405229123,100.93554071770946,99.66816793421323,100.33023071289062,27655200,0.0,0.0
2018-08-01,MSFT,100.28294445939241,100.68017782291494,99.70600719604855,100.51939392089844,23628700,0.0,0.0
2018-08-02,MSFT,99.68709189337957,102.23128312806267,99.15744020621095,101.73947143554688,26104300,0.0,0.0
2018-08-03,MSFT,101.95700103739684,102.19345047652264,101.03011606104337,102.18399047851562,18659600,0.0,0.0
2018-08-06,MSFT,102.25965885089732,102.54339385615442,101.73000718586141,102.26911163330078,20265900,0.0,0.0
2018-08-07,MSFT,102.67580721083554,103.18653889048979,102.30694664484048,102.97846221923828,16080200,0.0,0.0
2018-08-08,MSFT,103.40407314096271,103.80130647722298,102.8649686943625,103.5553970336914,15487500,0.0,0.0
2018-08-09,MSFT,103.76347211983384,104.18908544437186,103.65943378822661,103.72563934326172,13677200,0.0,0.0
2018-08-10,MSFT,103.48917510691889,103.74454450830733,102.50554470425534,103.0919418334961,18183700,0.0,0.0
2018-08-13,MSFT,103.31893515222345,103.64051011134458,102.2407263888038,102.34476470947266,18472500,0.0,0.0
2018-08-14,MSFT,102.6758071170558,103.80130881096204,102.18399543479977,103.6216049194336,16788300,0.0,0.0
2018-08-15,MSFT,103.00446586369742,103.4791845838187,101.41890707696423,102.21643829345703,29982800,0.42,0.0
2018-08-16,MSFT,102.82407326167792,103.35575588742712,101.87463586219293,102.19744110107422,21384300,0.0,0.0
2018-08-17,MSFT,101.93161026256655,102.44430738020849,101.29548887801636,102.14048767089844,18061500,0.0,0.0
2018-08-20,MSFT,102.0740012629215,102.44428121269836,101.09608204973486,101.46636199951172,17914200,0.0,0.0
2018-08-21,MSFT,101.51384224307863,101.9221006034568,100.49794454310957,100.62137603759766,22881900,0.0,0.0
2018-08-22,MSFT,100.49795581041512,101.91261562741391,100.43149547655969,101.64677429199219,18000600,0.0,0.0
2018-08-23,MSFT,101.73222488813374,102.71014430911131,101.46638355935922,102.12149047851562,18167700,0.0,0.0
2018-08-24,MSFT,102.22592149884075,103.07092019195356,102.12148280700592,102.91901397705078,17234000,0.0,0.0
2018-08-27,MSFT,103.74502588629441,104.09632034681812,103.0234586472774,104.05834197998047,19662300,0.0,0.0
2018-08-28,MSFT,104.38116258513404,104.91284527489935,104.23874550933736,104.68498229980469,19151500,0.0,0.0
2018-08-29,MSFT,104.86537093573858,106.36548395222276,104.694471892802,106.35598754882812,20818000,0.0,0.0
2018-08-30,MSFT,106.02367132475577,106.91614478697743,105.80530478206265,106.28951263427734,22798700,0.0,0.0
2018-08-31,MSFT,106.04266733477455,107.07755064150288,105.88125746885757,106.65030670166016,23222700,0.0,0.0
2018-09-04,MSFT,105.24514394857523,106.29902013826892,104.64700093968146,106.06166076660156,22634600,0.0,0.0
2018-09-05,MSFT,105.39704173306652,105.78630727796227,102.63417558121894,103.00445556640625,32872400,0.0,0.0
2018-09-06,MSFT,102.77659898929114,103.47918064007703,102.07401733850524,103.2418212890625,23477600,0.0,0.0
2018-09-07,MSFT,102.75760974719435,103.22283203029949,101.80817237714912,102.73861694335938,22498600,0.0,0.0
2018-09-10,MSFT,103.33676733047263,104.09632017873365,102.88104141642225,103.8494644165039,20727900,0.0,0.0
2018-09-11,MSFT,103.39374484442043,105.9477267849979,103.38424844123566,105.61542510986328,24301800,0.0,0.0
2018-09-12,MSFT,105.79581942931544,106.19458143524463,104.92233868005157,106.06166076660156,18891100,0.0,0.0
2018-09-13,MSFT,106.45092471909918,107.97951952441338,106.45092471909918,107.20098114013672,26055600,0.0,0.0
2018-09-14,MSFT,107.6282217986822,107.97951623641015,106.7547411489954,107.6377182006836,19122300,0.0,0.0
2018-09-17,MSFT,107.94153280349626,107.95102196141973,106.20406074407703,106.46990203857422,20736500,0.0,0.0
2018-09-18,MSFT,106.51739390673198,107.9510392956395,106.07115712918645,107.4858169555664,22170900,0.0,0.0
2018-09-19,MSFT,107.33388538100431,107.59023025458099,105.42551445591056,106.05213928222656,21728400,0.0,0.0
2018-09-20,MSFT,106.60283107488496,108.04597999234055,106.27052943061314,107.82760620117188,23714500,0.0,0.0
2018-09-21,MSFT,108.23587128104583,109.46064648319889,107.77064895024805,108.48272705078125,71229700,0.0,0.0
2018-09-24,MSFT,107.31491713191187,109.09036782600367,106.54587509160123,108.87199401855469,27334500,0.0,0.0
2018-09-25,MSFT,108.99544067272348,109.28026760992785,107.99852828342284,108.66313171386719,22668000,0.0,0.0
2018-09-26,MSFT,108.6821107701774,109.24227541300813,107.98901821444404,108.21688842773438,19352000,0.0,0.0
2018-09-27,MSFT,108.9764398422811,109.09987135858789,108.42576432980022,108.62515258789062,19091300,0.0,0.0
2018-09-28,MSFT,108.41626679851903,108.77705042868321,107.93205166157874,108.58716583251953,21647800,0.0,0.0
2018-10-01,MSFT,108.94796368220804,109.83094093251508,108.92897811756694,109.76448059082031,18883100,0.0,0.0
2018-10-02,MSFT,109.47013006484855,109.98281986278869,108.65361335904436,109.32771301269531,20787200,0.0,0.0
2018-10-03,MSFT,109.5840619234177,110.30563636874652,109.11883963007591,109.3467025756836,16648000,0.0,0.0
2018-10-04,MSFT,108.8150272695192,108.95744433645977,105.98570046713631,107.08705139160156,34821700,0.0,0.0
2018-10-05,MSFT,106.93514508976678,107.44784221893917,105.04576645636666,106.4604263305664,29068900,0.0,0.0
2018-10-08,MSFT,106.01418165211209,106.3654688478622,103.81147996988548,105.24513244628906,29640600,0.0,0.0
2018-10-09,MSFT,105.52050473842002,107.36241618286097,105.19769939938404,106.58387756347656,26198600,0.0,0.0
2018-10-10,MSFT,105.6154187943948,105.862274557005,100.44098764399432,100.79228210449219,61376300,0.0,0.0
2018-10-11,MSFT,100.02324170153095,103.42222977581619,98.93138710023857,100.554931640625,63904300,0.0,0.0
2018-10-12,MSFT,103.49819397520601,105.61543574981202,101.70375750507,104.02987670898438,47742100,0.0,0.0
2018-10-15,MSFT,103.403229884831,103.9444089087621,101.5423262213016,102.15946197509766,32068100,0.0,0.0
2018-10-16,MSFT,104.00137263299796,105.7768231610839,103.44120080586889,105.3875503540039,31610200,0.0,0.0
2018-10-17,MSFT,106.03316087068738,106.15658511537532,104.01086197376195,105.1122055053711,26548200,0.0,0.0
2018-10-18,MSFT,104.53306798256068,104.94132639996681,102.37784803071281,103.01396942138672,32506200,0.0,0.0
2018-10-19,MSFT,103.422223223932,105.25463781885477,102.7386270909985,103.16587829589844,32785500,0.0,0.0
2018-10-22,MSFT,103.79249922537093,104.95081404524167,102.76710506578377,104.08682250976562,26545600,0.0,0.0
2018-10-23,MSFT,102.32086969741782,103.46019897132821,99.79536987430379,102.63418579101562,43770400,0.0,0.0
2018-10-24,MSFT,102.9285163765633,103.00446586662392,96.45334608003762,97.14643859863281,63897800,0.0,0.0
2018-10-25,MSFT,101.1625583338438,103.74502198909846,100.78278192336641,102.8240737915039,61646800,0.0,0.0
2018-10-26,MSFT,100.34604413012629,103.25132034320008,99.46306703192879,101.55182647705078,55523100,0.0,0.0
2018-10-29,MSFT,102.64368872583576,103.20385337400828,96.49133053735771,98.59908294677734,55162000,0.0,0.0
2018-10-30,MSFT,98.41869286424537,99.10228176665564,95.04818690558317,98.48515319824219,65350900,0.0,0.0
2018-10-31,MSFT,100.10868393912845,102.67216207711876,100.06120917064867,101.40940856933594,51062400,0.0,0.0
2018-11-01,MSFT,101.6372839539227,101.89362888335421,100.19413494460792,100.56441497802734,33384200,0.0,0.0
